name_muni_uf_from,name_muni_uf_to,sg_iata_origem,sg_iata_destino,date,year,month,day,total_pass,dist_pair,n_flights,lon_from,lat_from,lon_to,lat_to
salvador-ba,rio de janeiro-rj,SSA,GIG,2020-03-03,2020,3,3,985,1201.14149264141,7,-38.4880614840078,-13.0147719115328,-43.2278751249952,-22.8766521181865
recife-pe,rio de janeiro-rj,REC,GIG,2020-03-03,2020,3,3,927,1866.13643566427,7,-34.8889419445777,-8.06276248305241,-43.2278751249952,-22.8766521181865
rio de janeiro-rj,recife-pe,GIG,REC,2020-03-04,2020,3,4,1109,1866.13643566427,8,-43.2278751249952,-22.8766521181865,-34.8889419445777,-8.06276248305241
rio de janeiro-rj,porto alegre-rs,GIG,POA,2020-03-03,2020,3,3,671,1123.91741429693,4,-43.2278751249952,-22.8766521181865,-51.2286604637023,-30.0300367747664
porto alegre-rs,rio de janeiro-rj,POA,GIG,2020-03-03,2020,3,3,273,1123.91741429693,2,-51.2286604637023,-30.0300367747664,-43.2278751249952,-22.8766521181865
rio de janeiro-rj,curitiba-pr,GIG,CWB,2020-03-03,2020,3,3,263,676.245181192978,4,-43.2278751249952,-22.8766521181865,-49.2718478850774,-25.432956
rio de janeiro-rj,florianopolis-sc,GIG,FLN,2020-03-03,2020,3,3,298,747.911071843207,2,-43.2278751249952,-22.8766521181865,-48.5476373781933,-27.58779554855
florianopolis-sc,rio de janeiro-rj,FLN,GIG,2020-03-03,2020,3,3,346,747.911071843207,3,-48.5476373781933,-27.58779554855,-43.2278751249952,-22.8766521181865
rio de janeiro-rj,bayeux-pb,GIG,JPA,2020-03-04,2020,3,4,351,1955.92008752251,2,-43.2278751249952,-22.8766521181865,-34.9291858200857,-7.132276485
confins-mg,rio de janeiro-rj,CNF,GIG,2020-03-03,2020,3,3,135,368.199406189062,2,-43.9955960875638,-19.6299482494053,-43.2278751249952,-22.8766521181865
rio de janeiro-rj,sao paulo-sp,GIG,CGH,2020-03-04,2020,3,4,334,350.556818135554,5,-43.2278751249952,-22.8766521181865,-46.5703831821127,-23.5673865
sao paulo-sp,rio de janeiro-rj,CGH,GIG,2020-03-04,2020,3,4,315,350.556818135554,5,-46.5703831821127,-23.5673865,-43.2278751249952,-22.8766521181865
