name_muni_uf_from,name_muni_uf_to,year,month,total_passdist,total_pass,total_dist,dist_pair,n_flights,lon_from,lat_from,lon_to,lat_to
almeirim-pa,altamira-pa,2020,4,0,0,1899.10442768289,189.910442768289,10,-52.5768350868127,-1.52733880276478,-52.2143763052078,-3.20565951
almeirim-pa,altamira-pa,2020,5,0,0,1899.10442768289,189.910442768289,10,-52.5768350868127,-1.52733880276478,-52.2143763052078,-3.20565951
almeirim-pa,belem-pa,2020,4,0,0,910.187868599896,455.093934299948,2,-52.5768350868127,-1.52733880276478,-48.4878256874876,-1.459845
almeirim-pa,belem-pa,2020,5,12287.5362260986,27,5461.12721159938,455.093934299948,12,-52.5768350868127,-1.52733880276478,-48.4878256874876,-1.459845
almeirim-pa,belem-pa,2020,6,46874.6752328947,103,11377.3483574987,455.093934299948,25,-52.5768350868127,-1.52733880276478,-48.4878256874876,-1.459845
almeirim-pa,breves-pa,2020,1,0,0,5614.23179016173,233.926324590072,24,-52.5768350868127,-1.52733880276478,-50.4808947990195,-1.6907365
almeirim-pa,breves-pa,2020,2,0,0,5146.37914098158,233.926324590072,22,-52.5768350868127,-1.52733880276478,-50.4808947990195,-1.6907365
almeirim-pa,breves-pa,2020,3,0,0,4678.52649180144,233.926324590072,20,-52.5768350868127,-1.52733880276478,-50.4808947990195,-1.6907365
almeirim-pa,breves-pa,2020,4,0,0,1871.41059672058,233.926324590072,8,-52.5768350868127,-1.52733880276478,-50.4808947990195,-1.6907365
almeirim-pa,breves-pa,2020,5,0,0,2339.26324590072,233.926324590072,10,-52.5768350868127,-1.52733880276478,-50.4808947990195,-1.6907365
almeirim-pa,porto de moz-pa,2020,1,710.033980209554,16,1065.05097031433,44.3771237630971,24,-52.5768350868127,-1.52733880276478,-52.2424769190201,-1.74609008880884
almeirim-pa,porto de moz-pa,2020,2,576.902608920262,13,976.296722788136,44.3771237630971,22,-52.5768350868127,-1.52733880276478,-52.2424769190201,-1.74609008880884
almeirim-pa,porto de moz-pa,2020,3,266.262742578583,6,976.296722788136,44.3771237630971,22,-52.5768350868127,-1.52733880276478,-52.2424769190201,-1.74609008880884
almeirim-pa,porto de moz-pa,2020,4,0,0,443.771237630971,44.3771237630971,10,-52.5768350868127,-1.52733880276478,-52.2424769190201,-1.74609008880884
almeirim-pa,porto de moz-pa,2020,5,0,0,443.771237630971,44.3771237630971,10,-52.5768350868127,-1.52733880276478,-52.2424769190201,-1.74609008880884
alta floresta-mt,varzea grande-mt,2020,1,375776.982858142,587,19204.9565344877,640.165217816256,30,-56.0916104404738,-9.87172259661951,-56.1446637401866,-15.6580648240885
alta floresta-mt,varzea grande-mt,2020,2,300877.65237364,470,16004.1304454064,640.165217816256,25,-56.0916104404738,-9.87172259661951,-56.1446637401866,-15.6580648240885
alta floresta-mt,varzea grande-mt,2020,3,277831.704532255,434,14083.6347919576,640.165217816256,22,-56.0916104404738,-9.87172259661951,-56.1446637401866,-15.6580648240885
altamira-pa,belem-pa,2020,1,934123.266780498,2043,31091.7191096788,457.23116337763,68,-52.2143763052078,-3.20565951,-48.4878256874876,-1.459845
altamira-pa,belem-pa,2020,2,720596.313483145,1576,16917.5530449723,457.23116337763,37,-52.2143763052078,-3.20565951,-48.4878256874876,-1.459845
altamira-pa,belem-pa,2020,3,489694.575977442,1071,10059.0855943079,457.23116337763,22,-52.2143763052078,-3.20565951,-48.4878256874876,-1.459845
