name_muni_uf_from,name_muni_uf_to,sg_iata_origem,sg_iata_destino,year,month,total_pass,dist_pair,n_flights,lon_from,lat_from,lon_to,lat_to,travel_time,top_plane,hourss,minutess
Brasilia-DF,Boa Vista-RR,BSB,BVB,2020,1,9658,2493.48287449368,66,-47.8879054780313,-15.794087361891,-60.6705326729651,2.81668191910439,3 horas e 31 minutos,AIRBUS A320-100/200,3,31
Brasilia-DF,Boa Vista-RR,BSB,BVB,2020,2,8244,2493.48287449368,56,-47.8879054780313,-15.794087361891,-60.6705326729651,2.81668191910439,3 horas e 31 minutos,AIRBUS A320-100/200,3,31
Brasilia-DF,Boa Vista-RR,BSB,BVB,2020,3,5804,2493.48287449368,45,-47.8879054780313,-15.794087361891,-60.6705326729651,2.81668191910439,3 horas e 31 minutos,AIRBUS A320-100/200,3,31
Brasilia-DF,Boa Vista-RR,BSB,BVB,2020,4,1059,2493.48287449368,9,-47.8879054780313,-15.794087361891,-60.6705326729651,2.81668191910439,3 horas e 31 minutos,AIRBUS A320-100/200,3,31
Brasilia-DF,Boa Vista-RR,BSB,BVB,2020,5,762,2493.48287449368,10,-47.8879054780313,-15.794087361891,-60.6705326729651,2.81668191910439,3 horas e 31 minutos,AIRBUS A320-100/200,3,31
Brasilia-DF,Boa Vista-RR,BSB,BVB,2020,6,1142,2493.48287449368,10,-47.8879054780313,-15.794087361891,-60.6705326729651,2.81668191910439,3 horas e 31 minutos,AIRBUS A320-100/200,3,31
Brasilia-DF,Campinas-SP,BSB,VCP,2020,1,23592,792.199019151723,274,-47.8879054780313,-15.794087361891,-47.0601562729731,-22.9073425,1 hora e 37 minutos,EMBRAER E195-E2/ERJ-190-400,1,37
Brasilia-DF,Campinas-SP,BSB,VCP,2020,2,20581,792.199019151723,260,-47.8879054780313,-15.794087361891,-47.0601562729731,-22.9073425,1 hora e 37 minutos,EMBRAER E195-E2/ERJ-190-400,1,37
Brasilia-DF,Campinas-SP,BSB,VCP,2020,3,12504,792.199019151723,209,-47.8879054780313,-15.794087361891,-47.0601562729731,-22.9073425,1 hora e 37 minutos,EMBRAER E195-E2/ERJ-190-400,1,37
Brasilia-DF,Campinas-SP,BSB,VCP,2020,4,755,792.199019151723,45,-47.8879054780313,-15.794087361891,-47.0601562729731,-22.9073425,1 hora e 37 minutos,EMBRAER E195-E2/ERJ-190-400,1,37
Brasilia-DF,Campinas-SP,BSB,VCP,2020,5,1015,792.199019151723,58,-47.8879054780313,-15.794087361891,-47.0601562729731,-22.9073425,1 hora e 37 minutos,EMBRAER E195-E2/ERJ-190-400,1,37
Brasilia-DF,Campinas-SP,BSB,VCP,2020,6,1542,792.199019151723,88,-47.8879054780313,-15.794087361891,-47.0601562729731,-22.9073425,1 hora e 37 minutos,EMBRAER E195-E2/ERJ-190-400,1,37
Brasilia-DF,Confins-MG,BSB,CNF,2020,1,37766,592.129265664869,364,-47.8879054780313,-15.794087361891,-43.9955960875638,-19.6299482494053,1 hora e 15 minutos,AIRBUS A320-100/200,1,15
Brasilia-DF,Confins-MG,BSB,CNF,2020,2,35719,592.129265664869,330,-47.8879054780313,-15.794087361891,-43.9955960875638,-19.6299482494053,1 hora e 15 minutos,AIRBUS A320-100/200,1,15
Brasilia-DF,Confins-MG,BSB,CNF,2020,3,21660,592.129265664869,254,-47.8879054780313,-15.794087361891,-43.9955960875638,-19.6299482494053,1 hora e 15 minutos,AIRBUS A320-100/200,1,15
Brasilia-DF,Confins-MG,BSB,CNF,2020,6,623,592.129265664869,9,-47.8879054780313,-15.794087361891,-43.9955960875638,-19.6299482494053,1 hora e 15 minutos,AIRBUS A320-100/200,1,15
Brasilia-DF,Curitiba-PR,BSB,CWB,2020,1,15467,1076.83143757253,117,-47.8879054780313,-15.794087361891,-49.2718478850774,-25.432956,1 hora e 54 minutos,BOEING 737-700,1,54
Brasilia-DF,Curitiba-PR,BSB,CWB,2020,2,13811,1076.83143757253,106,-47.8879054780313,-15.794087361891,-49.2718478850774,-25.432956,1 hora e 54 minutos,BOEING 737-700,1,54
Brasilia-DF,Curitiba-PR,BSB,CWB,2020,3,9622,1076.83143757253,88,-47.8879054780313,-15.794087361891,-49.2718478850774,-25.432956,1 hora e 54 minutos,BOEING 737-700,1,54
Brasilia-DF,Curitiba-PR,BSB,CWB,2020,4,0,1076.83143757253,2,-47.8879054780313,-15.794087361891,-49.2718478850774,-25.432956,1 hora e 54 minutos,BOEING 737-700,1,54
Brasilia-DF,Curitiba-PR,BSB,CWB,2020,6,1235,1076.83143757253,16,-47.8879054780313,-15.794087361891,-49.2718478850774,-25.432956,1 hora e 54 minutos,BOEING 737-700,1,54
